Country_Name,Cod_Na_UIS,Context_Indicator_Name,EMAC_IND_CONT_COD,Year,Value
Antigua and Barbuda,AG,"Population ages 0-14, male",26,2000,10334
Antigua and Barbuda,AG,"Population ages 15-64, female",27,2000,26050
Antigua and Barbuda,AG,"Population ages 15-64, male",28,2000,22694
Antigua and Barbuda,AG,"Population ages 65 and above, female",29,2000,3169
Antigua and Barbuda,AG,"Population ages 65 and above, male",30,2000,2279
Antigua and Barbuda,AG,"Population, female",31,2000,39748
Antigua and Barbuda,AG,"Population, male",32,2000,35307
Antigua and Barbuda,AG,"Population, total",33,2000,75055
Antigua and Barbuda,AG,Poverty headcount ratio at national poverty lines (% of population),34,2000,
Antigua and Barbuda,AG,"Primary education, pupils",35,2000,13025
Antigua and Barbuda,AG,"Repeaters, primary, total (% of total enrollment)",36,2000,
Antigua and Barbuda,AG,Rural population,37,2000,50942
Antigua and Barbuda,AG,"School enrollment, preprimary (% gross)",38,2000,55.38253021
Antigua and Barbuda,AG,"School enrollment, primary (% gross)",39,2000,127.5960007
Antigua and Barbuda,AG,"School enrollment, primary (% net)",40,2000,
Antigua and Barbuda,AG,"School enrollment, secondary (% gross)",41,2000,79.66178131
Antigua and Barbuda,AG,"School enrollment, secondary (% net)",42,2000,70.69304
Antigua and Barbuda,AG,"Secondary education, pupils",43,2000,5276
Antigua and Barbuda,AG,Urban population,44,2000,24113
Argentina,AR,"Adjusted net enrollment rate, primary (% of primary school age children)",1,2000,99.35688
Argentina,AR,Adolescents out of school (% of lower secondary school age),2,2000,0.834389985
Argentina,AR,Children out of school (% of primary school age),3,2000,0.431639999
Argentina,AR,"Children out of school, primary",4,2000,18285
Argentina,AR,"Compulsory education, duration (years)",5,2000,10
Argentina,AR,"Current education expenditure, total (% of total expenditure in public institutions)",6,2000,
Argentina,AR,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",7,2000,
Argentina,AR,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",8,2000,
Argentina,AR,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",9,2000,
Argentina,AR,Expenditure on primary education (% of government expenditure on education),10,2000,35.69129
Argentina,AR,Expenditure on secondary education (% of government expenditure on education),11,2000,35.70325
Argentina,AR,GDP (current US$),12,2000,2.84204E+11
Argentina,AR,GDP per capita (current US$),13,2000,7666.517834
Argentina,AR,Gini index,14,2000,51.1
Argentina,AR,"Government expenditure on education, total (% of GDP)",15,2000,4.580309868
Argentina,AR,"Government expenditure on education, total (% of government expenditure)",16,2000,16.22615051
Argentina,AR,"Government expenditure per student, primary (% of GDP per capita)",17,2000,12.2987
Argentina,AR,"Government expenditure per student, secondary (% of GDP per capita)",18,2000,15.74535
Argentina,AR,International migrant stock (% of population),19,2000,4.156300218
Argentina,AR,"International migrant stock, total",20,2000,1540219
Argentina,AR,"Literacy rate, adult total (% of people ages 15 and above)",21,2000,
Argentina,AR,"Literacy rate, youth total (% of people ages 15-24)",22,2000,
Argentina,AR,Net migration,23,2000,-22770
Argentina,AR,"Over-age students, primary (% of enrollment)",24,2000,10.19093
Argentina,AR,"Population ages 0-14, female",25,2000,5100516
Argentina,AR,"Population ages 0-14, male",26,2000,5346107
Argentina,AR,"Population ages 15-64, female",27,2000,11534450
Argentina,AR,"Population ages 15-64, male",28,2000,11478301
Argentina,AR,"Population ages 65 and above, female",29,2000,2155062
Argentina,AR,"Population ages 65 and above, male",30,2000,1456338
Argentina,AR,"Population, female",31,2000,18790028
Argentina,AR,"Population, male",32,2000,18280746
Argentina,AR,"Population, total",33,2000,37070774
Argentina,AR,Poverty headcount ratio at national poverty lines (% of population),34,2000,
Argentina,AR,"Primary education, pupils",35,2000,4900956
Argentina,AR,"Repeaters, primary, total (% of total enrollment)",36,2000,6.14958
Argentina,AR,Rural population,37,2000,4025145
Argentina,AR,"School enrollment, preprimary (% gross)",38,2000,58.73519897
Argentina,AR,"School enrollment, primary (% gross)",39,2000,115.6941299
Argentina,AR,"School enrollment, primary (% net)",40,2000,98.92861
Argentina,AR,"School enrollment, secondary (% gross)",41,2000,95.93660736
Argentina,AR,"School enrollment, secondary (% net)",42,2000,78.48781
Argentina,AR,"Secondary education, pupils",43,2000,3829421
Argentina,AR,Urban population,44,2000,33045629
Bahamas,BS,"Adjusted net enrollment rate, primary (% of primary school age children)",1,2000,
Bahamas,BS,Adolescents out of school (% of lower secondary school age),2,2000,
Bahamas,BS,Children out of school (% of primary school age),3,2000,
Bahamas,BS,"Children out of school, primary",4,2000,
Bahamas,BS,"Compulsory education, duration (years)",5,2000,12
Bahamas,BS,"Current education expenditure, total (% of total expenditure in public institutions)",6,2000,
Bahamas,BS,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",7,2000,90.10501862
Bahamas,BS,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",8,2000,98.49593353
Bahamas,BS,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",9,2000,70.94155121
Bahamas,BS,Expenditure on primary education (% of government expenditure on education),10,2000,
Bahamas,BS,Expenditure on secondary education (% of government expenditure on education),11,2000,
Bahamas,BS,GDP (current US$),12,2000,8076470000
Bahamas,BS,GDP per capita (current US$),13,2000,24849.60648
Bahamas,BS,Gini index,14,2000,
Bahamas,BS,"Government expenditure on education, total (% of GDP)",15,2000,2.232840061
Bahamas,BS,"Government expenditure on education, total (% of government expenditure)",16,2000,18.76528931
Bahamas,BS,"Government expenditure per student, primary (% of GDP per capita)",17,2000,
Bahamas,BS,"Government expenditure per student, secondary (% of GDP per capita)",18,2000,
Bahamas,BS,International migrant stock (% of population),19,2000,12.23736199
Bahamas,BS,"International migrant stock, total",20,2000,36454
Bahamas,BS,"Literacy rate, adult total (% of people ages 15 and above)",21,2000,
Bahamas,BS,"Literacy rate, youth total (% of people ages 15-24)",22,2000,
Bahamas,BS,Net migration,23,2000,843
Bahamas,BS,"Over-age students, primary (% of enrollment)",24,2000,
Bahamas,BS,"Population ages 0-14, female",25,2000,48256
Bahamas,BS,"Population ages 0-14, male",26,2000,48900
Bahamas,BS,"Population ages 15-64, female",27,2000,108340
Bahamas,BS,"Population ages 15-64, male",28,2000,103213
Bahamas,BS,"Population ages 65 and above, female",29,2000,9540
Bahamas,BS,"Population ages 65 and above, male",30,2000,6766
Bahamas,BS,"Population, female",31,2000,166136
Bahamas,BS,"Population, male",32,2000,158879
Bahamas,BS,"Population, total",33,2000,325014
Bahamas,BS,Poverty headcount ratio at national poverty lines (% of population),34,2000,
Bahamas,BS,"Primary education, pupils",35,2000,
Bahamas,BS,"Repeaters, primary, total (% of total enrollment)",36,2000,
Bahamas,BS,Rural population,37,2000,58480
Bahamas,BS,"School enrollment, preprimary (% gross)",38,2000,15.81334019
Bahamas,BS,"School enrollment, primary (% gross)",39,2000,
Bahamas,BS,"School enrollment, primary (% net)",40,2000,
Bahamas,BS,"School enrollment, secondary (% gross)",41,2000,
Bahamas,BS,"School enrollment, secondary (% net)",42,2000,
Bahamas,BS,"Secondary education, pupils",43,2000,
Bahamas,BS,Urban population,44,2000,266534
Brazil,BR,"Adjusted net enrollment rate, primary (% of primary school age children)",1,2000,
Brazil,BR,Adolescents out of school (% of lower secondary school age),2,2000,
Brazil,BR,Children out of school (% of primary school age),3,2000,
Brazil,BR,"Children out of school, primary",4,2000,
Brazil,BR,"Compulsory education, duration (years)",5,2000,8
Brazil,BR,"Current education expenditure, total (% of total expenditure in public institutions)",6,2000,93.85858917
Brazil,BR,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",7,2000,
Brazil,BR,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",8,2000,
Brazil,BR,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",9,2000,
Brazil,BR,Expenditure on primary education (% of government expenditure on education),10,2000,30.88178
Brazil,BR,Expenditure on secondary education (% of government expenditure on education),11,2000,38.44232
Brazil,BR,GDP (current US$),12,2000,6.55448E+11
Brazil,BR,GDP per capita (current US$),13,2000,3726.81142
Brazil,BR,Gini index,14,2000,
Brazil,BR,"Government expenditure on education, total (% of GDP)",15,2000,3.948930025
Brazil,BR,"Government expenditure on education, total (% of government expenditure)",16,2000,11.45215988
Brazil,BR,"Government expenditure per student, primary (% of GDP per capita)",17,2000,10.5463
Brazil,BR,"Government expenditure per student, secondary (% of GDP per capita)",18,2000,
Brazil,BR,International migrant stock (% of population),19,2000,0.389447557
Brazil,BR,"International migrant stock, total",20,2000,684596
Brazil,BR,"Literacy rate, adult total (% of people ages 15 and above)",21,2000,86.36788177
Brazil,BR,"Literacy rate, youth total (% of people ages 15-24)",22,2000,94.18411255
Brazil,BR,Net migration,23,2000,-1761
Brazil,BR,"Over-age students, primary (% of enrollment)",24,2000,34.81253
Brazil,BR,"Population ages 0-14, female",25,2000,25806123
Brazil,BR,"Population ages 0-14, male",26,2000,26664068
Brazil,BR,"Population ages 15-64, female",27,2000,57564654
Brazil,BR,"Population ages 15-64, male",28,2000,56159166
Brazil,BR,"Population ages 65 and above, female",29,2000,5378613
Brazil,BR,"Population ages 65 and above, male",30,2000,4301096
Brazil,BR,"Population, female",31,2000,88749390
Brazil,BR,"Population, male",32,2000,87124330
Brazil,BR,"Population, total",33,2000,175873720
Brazil,BR,Poverty headcount ratio at national poverty lines (% of population),34,2000,
Brazil,BR,"Primary education, pupils",35,2000,20211506
Brazil,BR,"Repeaters, primary, total (% of total enrollment)",36,2000,25.01127
Brazil,BR,Rural population,37,2000,33078329
Brazil,BR,"School enrollment, preprimary (% gross)",38,2000,
Brazil,BR,"School enrollment, primary (% gross)",39,2000,
Brazil,BR,"School enrollment, primary (% net)",40,2000,
Brazil,BR,"School enrollment, secondary (% gross)",41,2000,
Brazil,BR,"School enrollment, secondary (% net)",42,2000,
Brazil,BR,"Secondary education, pupils",43,2000,
Brazil,BR,Urban population,44,2000,142795391
British Virgin Islands,VG,"Adjusted net enrollment rate, primary (% of primary school age children)",1,2000,83.77107
British Virgin Islands,VG,Adolescents out of school (% of lower secondary school age),2,2000,4.092339993
British Virgin Islands,VG,Children out of school (% of primary school age),3,2000,16.22892952
British Virgin Islands,VG,"Children out of school, primary",4,2000,414
British Virgin Islands,VG,"Compulsory education, duration (years)",5,2000,12
British Virgin Islands,VG,"Current education expenditure, total (% of total expenditure in public institutions)",6,2000,
British Virgin Islands,VG,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",7,2000,
British Virgin Islands,VG,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",8,2000,
British Virgin Islands,VG,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",9,2000,
British Virgin Islands,VG,Expenditure on primary education (% of government expenditure on education),10,2000,
British Virgin Islands,VG,Expenditure on secondary education (% of government expenditure on education),11,2000,
British Virgin Islands,VG,GDP (current US$),12,2000,
British Virgin Islands,VG,GDP per capita (current US$),13,2000,
British Virgin Islands,VG,Gini index,14,2000,
British Virgin Islands,VG,"Government expenditure on education, total (% of GDP)",15,2000,
British Virgin Islands,VG,"Government expenditure on education, total (% of government expenditure)",16,2000,
British Virgin Islands,VG,"Government expenditure per student, primary (% of GDP per capita)",17,2000,
British Virgin Islands,VG,"Government expenditure per student, secondary (% of GDP per capita)",18,2000,
British Virgin Islands,VG,International migrant stock (% of population),19,2000,58.41205251
British Virgin Islands,VG,"International migrant stock, total",20,2000,12058
British Virgin Islands,VG,"Literacy rate, adult total (% of people ages 15 and above)",21,2000,
British Virgin Islands,VG,"Literacy rate, youth total (% of people ages 15-24)",22,2000,
British Virgin Islands,VG,Net migration,23,2000,326
British Virgin Islands,VG,"Over-age students, primary (% of enrollment)",24,2000,5.17427
British Virgin Islands,VG,"Population ages 0-14, female",25,2000,2614
British Virgin Islands,VG,"Population ages 0-14, male",26,2000,2651
British Virgin Islands,VG,"Population ages 15-64, female",27,2000,6700
British Virgin Islands,VG,"Population ages 15-64, male",28,2000,7179
British Virgin Islands,VG,"Population ages 65 and above, female",29,2000,463
British Virgin Islands,VG,"Population ages 65 and above, male",30,2000,498
British Virgin Islands,VG,"Population, female",31,2000,9777
British Virgin Islands,VG,"Population, male",32,2000,10327
British Virgin Islands,VG,"Population, total",33,2000,20104
British Virgin Islands,VG,Poverty headcount ratio at national poverty lines (% of population),34,2000,
British Virgin Islands,VG,"Primary education, pupils",35,2000,2783
British Virgin Islands,VG,"Repeaters, primary, total (% of total enrollment)",36,2000,2.7402
British Virgin Islands,VG,Rural population,37,2000,11706
British Virgin Islands,VG,"School enrollment, preprimary (% gross)",38,2000,73.07691956
British Virgin Islands,VG,"School enrollment, primary (% gross)",39,2000,109.0944672
British Virgin Islands,VG,"School enrollment, primary (% net)",40,2000,81.85025
British Virgin Islands,VG,"School enrollment, secondary (% gross)",41,2000,98.75978851
British Virgin Islands,VG,"School enrollment, secondary (% net)",42,2000,79.56919
British Virgin Islands,VG,"Secondary education, pupils",43,2000,1513
British Virgin Islands,VG,Urban population,44,2000,8398
Chile,CL,"Adjusted net enrollment rate, primary (% of primary school age children)",1,2000,
Chile,CL,Adolescents out of school (% of lower secondary school age),2,2000,
Chile,CL,Children out of school (% of primary school age),3,2000,
Chile,CL,"Children out of school, primary",4,2000,
Chile,CL,"Compulsory education, duration (years)",5,2000,8
Chile,CL,"Current education expenditure, total (% of total expenditure in public institutions)",6,2000,87.18878174
Chile,CL,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",7,2000,
Chile,CL,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",8,2000,
Chile,CL,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",9,2000,
Chile,CL,Expenditure on primary education (% of government expenditure on education),10,2000,43.01821
Chile,CL,Expenditure on secondary education (% of government expenditure on education),11,2000,34.26986
Chile,CL,GDP (current US$),12,2000,78249883996
Chile,CL,GDP per capita (current US$),13,2000,5097.114937
Chile,CL,Gini index,14,2000,52.8
Chile,CL,"Government expenditure on education, total (% of GDP)",15,2000,3.77583003
Chile,CL,"Government expenditure on education, total (% of government expenditure)",16,2000,16.42790985
Chile,CL,"Government expenditure per student, primary (% of GDP per capita)",17,2000,13.85617
Chile,CL,"Government expenditure per student, secondary (% of GDP per capita)",18,2000,14.26927
Chile,CL,International migrant stock (% of population),19,2000,1.168935242
Chile,CL,"International migrant stock, total",20,2000,177332
Chile,CL,"Literacy rate, adult total (% of people ages 15 and above)",21,2000,
Chile,CL,"Literacy rate, youth total (% of people ages 15-24)",22,2000,
Chile,CL,Net migration,23,2000,5790
Chile,CL,"Over-age students, primary (% of enrollment)",24,2000,
Chile,CL,"Population ages 0-14, female",25,2000,2013406
Chile,CL,"Population ages 0-14, male",26,2000,2102805
Chile,CL,"Population ages 15-64, female",27,2000,5008743
Chile,CL,"Population ages 15-64, male",28,2000,5001295
Chile,CL,"Population ages 65 and above, female",29,2000,701994
Chile,CL,"Population ages 65 and above, male",30,2000,523555
Chile,CL,"Population, female",31,2000,7724143
Chile,CL,"Population, male",32,2000,7627655
Chile,CL,"Population, total",33,2000,15351799
Chile,CL,Poverty headcount ratio at national poverty lines (% of population),34,2000,36
Chile,CL,"Primary education, pupils",35,2000,1798515
Chile,CL,"Repeaters, primary, total (% of total enrollment)",36,2000,
Chile,CL,Rural population,37,2000,2138045
Chile,CL,"School enrollment, preprimary (% gross)",38,2000,78.97057343
Chile,CL,"School enrollment, primary (% gross)",39,2000,103.0135117
Chile,CL,"School enrollment, primary (% net)",40,2000,
Chile,CL,"School enrollment, secondary (% gross)",41,2000,85.52158356
Chile,CL,"School enrollment, secondary (% net)",42,2000,
Chile,CL,"Secondary education, pupils",43,2000,1391283
Chile,CL,Urban population,44,2000,13213754
Colombia,CO,"Adjusted net enrollment rate, primary (% of primary school age children)",1,2000,96.76601
Colombia,CO,Adolescents out of school (% of lower secondary school age),2,2000,
Colombia,CO,Children out of school (% of primary school age),3,2000,0.791119993
Colombia,CO,"Children out of school, primary",4,2000,34598
Colombia,CO,"Compulsory education, duration (years)",5,2000,10
Colombia,CO,"Current education expenditure, total (% of total expenditure in public institutions)",6,2000,
Colombia,CO,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",7,2000,
Colombia,CO,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",8,2000,
Colombia,CO,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",9,2000,
Colombia,CO,Expenditure on primary education (% of government expenditure on education),10,2000,44.55692
Colombia,CO,Expenditure on secondary education (% of government expenditure on education),11,2000,33.0706
Colombia,CO,GDP (current US$),12,2000,99875074935
Colombia,CO,GDP per capita (current US$),13,2000,2546.850213
Colombia,CO,Gini index,14,2000,58.7
Colombia,CO,"Government expenditure on education, total (% of GDP)",15,2000,3.511209965
Colombia,CO,"Government expenditure on education, total (% of government expenditure)",16,2000,13.29638958
Colombia,CO,"Government expenditure per student, primary (% of GDP per capita)",17,2000,11.87519
Colombia,CO,"Government expenditure per student, secondary (% of GDP per capita)",18,2000,12.89406
Colombia,CO,International migrant stock (% of population),19,2000,0.271282822
Colombia,CO,"International migrant stock, total",20,2000,109609
Colombia,CO,"Literacy rate, adult total (% of people ages 15 and above)",21,2000,
Colombia,CO,"Literacy rate, youth total (% of people ages 15-24)",22,2000,
Colombia,CO,Net migration,23,2000,-31116
Colombia,CO,"Over-age students, primary (% of enrollment)",24,2000,18.93137
Colombia,CO,"Population ages 0-14, female",25,2000,6290447
Colombia,CO,"Population ages 0-14, male",26,2000,6518801
Colombia,CO,"Population ages 15-64, female",27,2000,12449911
Colombia,CO,"Population ages 15-64, male",28,2000,12159621
Colombia,CO,"Population ages 65 and above, female",29,2000,1004893
Colombia,CO,"Population ages 65 and above, male",30,2000,791463
Colombia,CO,"Population, female",31,2000,19745251
Colombia,CO,"Population, male",32,2000,19469885
Colombia,CO,"Population, total",33,2000,39215135
Colombia,CO,Poverty headcount ratio at national poverty lines (% of population),34,2000,
Colombia,CO,"Primary education, pupils",35,2000,5221018
Colombia,CO,"Repeaters, primary, total (% of total enrollment)",36,2000,5.35442
Colombia,CO,Rural population,37,2000,10212798
Colombia,CO,"School enrollment, preprimary (% gross)",38,2000,
Colombia,CO,"School enrollment, primary (% gross)",39,2000,119.3839417
Colombia,CO,"School enrollment, primary (% net)",40,2000,93.89445
Colombia,CO,"School enrollment, secondary (% gross)",41,2000,73.08660126
Colombia,CO,"School enrollment, secondary (% net)",42,2000,
Colombia,CO,"Secondary education, pupils",43,2000,3568889
Colombia,CO,Urban population,44,2000,29002337
Costa Rica,CR,"Adjusted net enrollment rate, primary (% of primary school age children)",1,2000,
Costa Rica,CR,Adolescents out of school (% of lower secondary school age),2,2000,
Costa Rica,CR,Children out of school (% of primary school age),3,2000,
Costa Rica,CR,"Children out of school, primary",4,2000,
Costa Rica,CR,"Compulsory education, duration (years)",5,2000,11
Costa Rica,CR,"Current education expenditure, total (% of total expenditure in public institutions)",6,2000,
Costa Rica,CR,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",7,2000,
Costa Rica,CR,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",8,2000,
Costa Rica,CR,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",9,2000,
Costa Rica,CR,Expenditure on primary education (% of government expenditure on education),10,2000,46.52694
Costa Rica,CR,Expenditure on secondary education (% of government expenditure on education),11,2000,28.00545
Costa Rica,CR,GDP (current US$),12,2000,15013629659
Costa Rica,CR,GDP per capita (current US$),13,2000,3773.033793
Costa Rica,CR,Gini index,14,2000,47.4
Costa Rica,CR,"Government expenditure on education, total (% of GDP)",15,2000,4.666950226
Costa Rica,CR,"Government expenditure on education, total (% of government expenditure)",16,2000,18.81950951
Costa Rica,CR,"Government expenditure per student, primary (% of GDP per capita)",17,2000,15.66871
Costa Rica,CR,"Government expenditure per student, secondary (% of GDP per capita)",18,2000,20.3449
Costa Rica,CR,International migrant stock (% of population),19,2000,7.92128291
Costa Rica,CR,"International migrant stock, total",20,2000,310946
Costa Rica,CR,"Literacy rate, adult total (% of people ages 15 and above)",21,2000,94.86818695
Costa Rica,CR,"Literacy rate, youth total (% of people ages 15-24)",22,2000,97.61470032
Costa Rica,CR,Net migration,23,2000,13590
Costa Rica,CR,"Over-age students, primary (% of enrollment)",24,2000,
Costa Rica,CR,"Population ages 0-14, female",25,2000,599712
Costa Rica,CR,"Population ages 0-14, male",26,2000,628790
Costa Rica,CR,"Population ages 15-64, female",27,2000,1252930
Costa Rica,CR,"Population ages 15-64, male",28,2000,1264782
Costa Rica,CR,"Population ages 65 and above, female",29,2000,123945
Costa Rica,CR,"Population ages 65 and above, male",30,2000,109033
Costa Rica,CR,"Population, female",31,2000,1976587
Costa Rica,CR,"Population, male",32,2000,2002605
Costa Rica,CR,"Population, total",33,2000,3979193
Costa Rica,CR,Poverty headcount ratio at national poverty lines (% of population),34,2000,20.6
Costa Rica,CR,"Primary education, pupils",35,2000,551465
Costa Rica,CR,"Repeaters, primary, total (% of total enrollment)",36,2000,8.05944
Costa Rica,CR,Rural population,37,2000,1629400
Costa Rica,CR,"School enrollment, preprimary (% gross)",38,2000,45.65473175
Costa Rica,CR,"School enrollment, primary (% gross)",39,2000,109.1044235
Costa Rica,CR,"School enrollment, primary (% net)",40,2000,
Costa Rica,CR,"School enrollment, secondary (% gross)",41,2000,62.05680084
Costa Rica,CR,"School enrollment, secondary (% net)",42,2000,
Costa Rica,CR,"Secondary education, pupils",43,2000,255643
Costa Rica,CR,Urban population,44,2000,2349793
Cuba,CU,"Adjusted net enrollment rate, primary (% of primary school age children)",1,2000,99.56287
Cuba,CU,Adolescents out of school (% of lower secondary school age),2,2000,3.964900017
Cuba,CU,Children out of school (% of primary school age),3,2000,0.437130004
Cuba,CU,"Children out of school, primary",4,2000,4453
Cuba,CU,"Compulsory education, duration (years)",5,2000,9
Cuba,CU,"Current education expenditure, total (% of total expenditure in public institutions)",6,2000,92.09062195
Cuba,CU,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",7,2000,
Cuba,CU,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",8,2000,
Cuba,CU,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",9,2000,
Cuba,CU,Expenditure on primary education (% of government expenditure on education),10,2000,34.50056
Cuba,CU,Expenditure on secondary education (% of government expenditure on education),11,2000,37.96225
Cuba,CU,GDP (current US$),12,2000,30565400000
Cuba,CU,GDP per capita (current US$),13,2000,2752.203783
Cuba,CU,Gini index,14,2000,
Cuba,CU,"Government expenditure on education, total (% of GDP)",15,2000,7.704810143
Cuba,CU,"Government expenditure on education, total (% of government expenditure)",16,2000,
Cuba,CU,"Government expenditure per student, primary (% of GDP per capita)",17,2000,28.28703
Cuba,CU,"Government expenditure per student, secondary (% of GDP per capita)",18,2000,41.19862
Cuba,CU,International migrant stock (% of population),19,2000,0.160280124
Cuba,CU,"International migrant stock, total",20,2000,17818
Cuba,CU,"Literacy rate, adult total (% of people ages 15 and above)",21,2000,
Cuba,CU,"Literacy rate, youth total (% of people ages 15-24)",22,2000,
Cuba,CU,Net migration,23,2000,-24942
Cuba,CU,"Over-age students, primary (% of enrollment)",24,2000,4.45189
Cuba,CU,"Population ages 0-14, female",25,2000,1141224
Cuba,CU,"Population ages 0-14, male",26,2000,1214773
Cuba,CU,"Population ages 15-64, female",27,2000,3809137
Cuba,CU,"Population ages 15-64, male",28,2000,3841727
Cuba,CU,"Population ages 65 and above, female",29,2000,580588
Cuba,CU,"Population ages 65 and above, male",30,2000,518342
Cuba,CU,"Population, female",31,2000,5530949
Cuba,CU,"Population, male",32,2000,5574842
Cuba,CU,"Population, total",33,2000,11105791
Cuba,CU,Poverty headcount ratio at national poverty lines (% of population),34,2000,
Cuba,CU,"Primary education, pupils",35,2000,1045578
Cuba,CU,"Repeaters, primary, total (% of total enrollment)",36,2000,1.40688
Cuba,CU,Rural population,37,2000,2740576
Cuba,CU,"School enrollment, preprimary (% gross)",38,2000,107.9292526
Cuba,CU,"School enrollment, primary (% gross)",39,2000,102.6397705
Cuba,CU,"School enrollment, primary (% net)",40,2000,97.92115
Cuba,CU,"School enrollment, secondary (% gross)",41,2000,82.7508316
Cuba,CU,"School enrollment, secondary (% net)",42,2000,80.49006
Cuba,CU,"Secondary education, pupils",43,2000,789927
Cuba,CU,Urban population,44,2000,8365215
Curaçao,CW,"Adjusted net enrollment rate, primary (% of primary school age children)",1,2000,
Curaçao,CW,Adolescents out of school (% of lower secondary school age),2,2000,
Curaçao,CW,Children out of school (% of primary school age),3,2000,
Curaçao,CW,"Children out of school, primary",4,2000,
Curaçao,CW,"Compulsory education, duration (years)",5,2000,9
Curaçao,CW,"Current education expenditure, total (% of total expenditure in public institutions)",6,2000,
Curaçao,CW,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",7,2000,
Curaçao,CW,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",8,2000,
Curaçao,CW,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",9,2000,
Curaçao,CW,Expenditure on primary education (% of government expenditure on education),10,2000,
Curaçao,CW,Expenditure on secondary education (% of government expenditure on education),11,2000,
Curaçao,CW,GDP (current US$),12,2000,
Curaçao,CW,GDP per capita (current US$),13,2000,
Curaçao,CW,Gini index,14,2000,
Curaçao,CW,"Government expenditure on education, total (% of GDP)",15,2000,
Curaçao,CW,"Government expenditure on education, total (% of government expenditure)",16,2000,
Curaçao,CW,"Government expenditure per student, primary (% of GDP per capita)",17,2000,
Curaçao,CW,"Government expenditure per student, secondary (% of GDP per capita)",18,2000,
Curaçao,CW,International migrant stock (% of population),19,2000,
